Date, Open, High, Low, Close, Volume
5/5/2022,11.4,11.4,11.4,11.4,1000
5/4/2022,11.45,11.45,11.45,11.45,100
4/6/2022,12.65,12.65,12.65,12.65,100
3/30/2022,13,13,12.6,12.65,1200
3/18/2022,13.5,13.5,12.65,12.95,300
3/17/2022,12.65,12.65,12.6,12.6,700
3/16/2022,13.5,13.5,13.5,13.5,100
3/14/2022,12.6,12.6,12.6,12.6,500
3/1/2022,13.5,13.5,13.5,13.5,100
2/28/2022,12.35,12.35,12.35,12.35,100
2/24/2022,12.35,12.35,12.35,12.35,100
2/23/2022,13.5,13.5,13.5,13.5,100
2/17/2022,13.15,13.15,13.1,13.1,3000
2/16/2022,13.1,13.1,13.1,13.1,4500
2/15/2022,13,13,13,13,300
2/9/2022,13.15,13.15,13.1,13.1,1000
2/8/2022,13.5,13.5,13.5,13.5,100
2/7/2022,13.5,13.5,13.5,13.5,1500
2/4/2022,13.5,13.5,13.5,13.5,100
2/2/2022,13.5,13.5,13.5,13.5,6100
2/1/2022,13.5,13.5,13.5,13.5,3400
1/31/2022,13.1,13.1,13.1,13.1,8000
1/28/2022,13.15,13.4,13.15,13.15,5100
1/27/2022,13.05,13.05,13.05,13.05,2400
1/26/2022,13.05,13.05,13.05,13.05,100
1/25/2022,13.8,13.8,13.8,13.8,1000
1/20/2022,13.8,13.8,13.8,13.8,1000
1/18/2022,13,13.9,13,13.9,9100
1/14/2022,13.8,13.8,13.8,13.8,500
1/12/2022,12.9,12.9,12.9,12.9,200
1/6/2022,13.8,13.8,13.8,13.8,100
1/4/2022,12.85,12.85,12.85,12.85,600
1/3/2022,13.8,13.8,13.5,13.5,4000
12/28/2021,13.5,13.5,13.5,13.5,100
12/23/2021,13.8,13.8,13.8,13.8,500
12/20/2021,12.85,12.85,12.85,12.85,100
12/14/2021,13.8,14,12.85,13.6,400
12/10/2021,14,14,13.8,13.95,400
12/6/2021,13.8,13.8,13.8,13.8,4400
12/3/2021,13.95,13.95,13.95,13.95,100
12/2/2021,13.95,13.95,13.95,13.95,100
12/1/2021,13,13,12.7,12.8,700
11/30/2021,12.9,12.9,12.55,12.7,3100
11/29/2021,12.9,12.9,12.9,12.9,1200
11/23/2021,14,14,14,14,100
11/15/2021,13.9,13.9,13.9,13.9,300
11/12/2021,13.9,13.9,13.9,13.9,100
11/11/2021,12.7,12.7,12.6,12.7,1100
11/8/2021,14,14,14,14,100
11/4/2021,13,13,13,13,100
11/3/2021,12.75,13.6,12.75,13.55,6000
11/2/2021,12,12.45,12,12.4,7000
11/1/2021,12.45,12.45,12.45,12.45,100
10/29/2021,12,12,12,12,1700
10/28/2021,12.45,12.45,12.45,12.45,100
10/27/2021,12.45,12.45,12.45,12.45,300
10/25/2021,12.75,12.75,12.75,12.75,200
10/21/2021,13.2,13.2,13.2,13.2,1100
10/14/2021,13,13,13,13,100
10/12/2021,12,12,12,12,1000
10/7/2021,13,13,13,13,100
10/6/2021,13,13,13,13,700
10/5/2021,14,14,14,14,600
10/4/2021,13.9,13.9,13.9,13.9,500
10/1/2021,13.8,14,13.8,13.9,200
9/29/2021,12.75,13.2,12.75,13,700
9/28/2021,13.8,13.8,13.8,13.8,200
9/27/2021,13.8,14,13.8,13.9,1700
9/24/2021,12.8,12.8,12.75,12.8,4100
9/21/2021,13,13,13,13,1600
9/20/2021,14,14,14,14,400
9/13/2021,13,14,12.95,13.45,7500
9/10/2021,13.8,13.8,13.8,13.8,100
9/9/2021,12.95,12.95,12.85,12.85,2600
9/8/2021,12.9,13,12.9,13,2700
9/6/2021,13.8,13.8,12.8,12.95,1200
9/2/2021,14,14,14,14,500
8/31/2021,14,14,14,14,1100
8/30/2021,14,14,13.8,14,9400
8/26/2021,13,13,13,13,500
8/23/2021,14.5,14.5,13.1,13.25,1700
8/20/2021,14.5,14.5,13.5,14.4,1300
8/19/2021,13.5,13.5,13.5,13.5,400
8/18/2021,13.5,13.5,13.5,13.5,1200
8/17/2021,12.4,12.4,12.4,12.4,100
8/13/2021,11.3,11.3,11.3,11.3,500
8/12/2021,11.3,11.35,11.25,11.3,1500
8/11/2021,11.35,11.35,11.35,11.35,1000
8/10/2021,11.3,11.3,11.3,11.3,500
8/6/2021,12.45,13.5,12,12.15,2700
8/5/2021,12.3,12.3,12.3,12.3,1000
8/4/2021,12,12,12,12,1400
8/3/2021,11.8,11.8,11.8,11.8,4300
8/2/2021,11.8,11.8,11.4,11.7,3500
7/30/2021,11.5,11.5,11.5,11.5,1400
7/26/2021,11.4,11.5,11.4,11.5,9900
7/23/2021,11.85,11.85,11.4,11.45,2800
7/22/2021,11.8,11.8,11.4,11.5,4000
7/21/2021,11.85,11.85,11,11.35,1500
