Date, Open, High, Low, Close, Volume,Company
06/09/2023,11.3,11.35,11.3,11.3,1700,EGAD
05/30/2023,11.3,11.3,11.3,11.3,800,EGAD
05/29/2023,11.3,11.3,11.3,11.3,100,EGAD
05/26/2023,11.35,11.35,11.35,11.35,100,EGAD
05/23/2023,10.5,10.5,10.5,10.5,1000,EGAD
05/22/2023,10.35,10.35,10.35,10.35,100,EGAD
05/18/2023,11.5,11.5,11.5,11.5,100,EGAD
05/17/2023,11.5,11.5,11.5,11.5,1000,EGAD
05/16/2023,11.5,11.5,11,11.3,2000,EGAD
05/12/2023,11.5,11.9,11.5,11.55,2100,EGAD
05/11/2023,11.5,11.5,11.5,11.5,4700,EGAD
05/09/2023,11.9,11.9,11.9,11.9,200,EGAD
05/08/2023,12,12,11.9,12,1600,EGAD
05/05/2023,11.9,11.9,11.9,11.9,1200,EGAD
05/04/2023,12,12,11.9,11.95,300,EGAD
05/03/2023,12,12,12,12,1000,EGAD
05/02/2023,12,12,12,12,2200,EGAD
04/28/2023,11.5,11.5,11.5,11.5,20900,EGAD
04/26/2023,11,11,11,11,1900,EGAD
04/25/2023,11,11,11,11,2000,EGAD
04/24/2023,11.5,11.5,11.5,11.5,600,EGAD
04/20/2023,11.5,11.5,11.5,11.5,100,EGAD
04/19/2023,11.5,11.5,11.5,11.5,500,EGAD
04/18/2023,11.5,11.5,11.5,11.5,3000,EGAD
04/17/2023,12,12,12,12,10600,EGAD
04/14/2023,12,12,12,12,2200,EGAD
04/13/2023,12,12,12,12,9200,EGAD
04/12/2023,12,12,12,12,100,EGAD
04/11/2023,12,12,12,12,600,EGAD
04/06/2023,12,12,12,12,1800,EGAD
04/05/2023,12,12,11.5,11.75,200,EGAD
04/04/2023,12,12,12,12,100,EGAD
04/03/2023,12,12,12,12,100,EGAD
03/31/2023,12.3,12.5,12,12.15,600,EGAD
03/30/2023,12.6,12.6,12,12.3,200,EGAD
03/29/2023,11.95,11.95,11.95,11.95,200,EGAD
03/28/2023,11.5,11.5,11.5,11.5,1000,EGAD
03/23/2023,11.5,11.95,11.5,11.55,2000,EGAD
03/22/2023,11.5,11.5,11.5,11.5,300,EGAD
03/15/2023,11.5,11.5,11.5,11.5,200,EGAD
03/14/2023,11.5,11.5,11.5,11.5,1300,EGAD
03/13/2023,11.5,11.5,11.5,11.5,800,EGAD
03/10/2023,11.5,11.5,11.5,11.5,800,EGAD
03/08/2023,11.5,11.5,11.5,11.5,3600,EGAD
03/07/2023,11.5,11.7,11.5,11.55,700,EGAD
03/06/2023,11.5,11.5,11.5,11.5,300,EGAD
03/03/2023,11.5,11.75,11.5,11.65,800,EGAD
03/02/2023,11.5,11.5,11.5,11.5,4900,EGAD
03/01/2023,11,11,11,11,100,EGAD
02/28/2023,11.8,11.8,11,11.75,1100,EGAD
02/27/2023,11.8,11.8,11.8,11.8,100,EGAD
02/24/2023,11.2,12,11.2,11.35,600,EGAD
